Sl. No.,State/UT,2017 - Missing,2017 - Traced,2018 - Missing,2018 - Traced,2019 - Missing,2019 - Traced,2020 - Missing,2020 - Traced,2021 - Missing,2021 - Traced
1,Andhra Pradesh,5225,6423,5792,6042,6896,6583,7576,7195,10085,9616
2,Arunachal Pradesh,90,96,12,96,43,44,9,9,2,2
3,Assam,2302,2314,4087,3448,3330,3116,2714,3963,3178,2846
4,Bihar,6020,3561,7775,7570,8453,5783,6287,5831,6144,6748
5,Chhattisgarh,7383,6501,9412,8645,11108,9388,9113,8749,12109,10473
6,Goa,274,254,234,214,297,251,190,254,225,216
7,Gujarat,7712,8481,9246,8570,9268,8543,8290,7753,9812,10608
8,Haryana,4780,5003,5311,6085,7659,6885,6698,6434,8863,7813
9,Himachal Pradesh,852,881,1179,1011,1356,1259,1095,1147,1587,1651
10,Jharkhand,361,469,399,333,437,477,408,483,494,479
11,Karnataka,8757,8247,9567,11577,10115,9708,9542,9545,10962,11065
12,Kerala,6076,6161,7839,7833,8843,8844,6395,6426,6183,6242
13,Madhya Pradesh,26587,21490,29761,23817,33893,30780,29588,31142,35638,35464
14,Maharashtra,29279,27966,33964,32673,38506,36777,32283,40095,37278,39805
15,Manipur,139,130,161,171,242,222,125,137,115,99
16,Meghalaya,172,131,166,176,200,203,102,135,108,123
17,Mizoram,1,1,0,0,0,0,0,0,0,0
18,Nagaland,89,105,83,67,40,43,27,33,27,31
19,Odisha,4187,20138,10193,3309,12017,4104,11856,6326,12986,16806
20,Punjab,1256,1377,1670,1219,2079,1237,1784,1135,2362,1501
21,Rajasthan,10230,9684,12525,11287,16155,14626,16601,14211,20029,18401
22,Sikkim,222,235,81,84,136,118,95,96,118,99
23,Tamil Nadu,9564,10679,10403,9424,11280,10297,12937,12038,17704,16800
24,Telangana,8405,7957,9041,9153,10665,11839,11404,10681,13360,13891
25,Tripura,866,873,1086,930,1226,1251,970,941,1196,1306
26,Uttar Pradesh,4511,3525,5777,4749,5828,6182,5020,5734,6668,5243
27,Uttarakhand,1081,769,1217,598,1175,861,1108,1873,1857,1888
28,West Bengal,28133,34174,31299,30547,32360,30589,27434,29375,30611,29166
Total State (S),Total State (S),174554,187625,208280,189628,233607,210010,209651,211741,249701,248382
29,Andaman and Nicobar Islands,65,53,100,84,95,75,37,46,56,57
30,Chandigarh,341,251,354,224,465,283,442,380,533,526
31,Dadra and Nagar Haveli and Daman and Diu,71,90,126,97,132,105,51,83,100,113
32,Delhi,12202,11280,13272,18536,13544,10967,10644,10383,13072,10345
33,Jammu and Kashmir,1044,942,1335,1181,1477,1428,1404,1265,1835,1665
34,Ladakh,NA,NA,NA,NA,NA,NA,8,6,5,6
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0
36,Puducherry,105,116,154,147,138,123,158,139,179,184
Total UT (S),Total UT (S),13828,12732,15341,20269,15851,12981,12744,12302,15780,12896
Total (All India),Total (All India),188382,200357,223621,209897,249458,222991,222395,224043,265481,261278
